GameNumber,PlayerName,Country,Score,SecondaryScore
4,Leandro Machado,SP,542,174
4,Wellington Luíz Pereira,MG,530,34
4,Fábio de Carvalho Gatti,SP,504,55
4,Emanuel Augusto Coutinho da Silva,PR,504,0
4,Rafael Volner,SP,470,171
4,Gilberto Come,SP,458,0
4,André da Silva Gonçalves,SP,440,5
4,André Luiz Baldo,SC,394,0
4,Daniel Gonçalves Pereira,RJ,372,3
4,Kleber Koiti Takemoto,MS,348,77
4,Rogerio Almeida de Oliveira,SP,345,3
4,Guilherme Vezzoni,SP,339,104
4,Agnaldo Clozer Pinheiro,SP,300,31
4,Wanderlei Hüttel,SC,270,14
4,Dionathan Magayver Sperandio,RS,264,0
4,Samara Lana da Rocha,MG,124,0
4,Bruno Leonardo Santos Cerqueira,BA,0,548
4,Antonio Nicacio Da Silva,PB,0,465
4,Matheus Turra Malucelli,PR,0,0
5,Bruno Merola Correa,RJ,10000,-550
5,Diarmuid Early,EX,9500,-216
5,Jean Wolleh,EX,9500,-418
5,Felipe Rocha Carvalho,SP,7445,-1781
5,Thomas Marcelo e Silva,GO,7375,-1746
5,Juliano Neves,SP,6970,-1541
5,Kleber Koiti Takemoto,MS,6850,-1602
5,Gabriel Sotero,RJ,6125,-1224
5,Leandro Machado,SP,6035,-1800
5,Fredson Alves Pinho,GO,5850,-1634
5,Rafael Volner,SP,5640,-1683
5,Jardiel Euflázio Felismino,PB,5515,-1800
5,Eduardo Schneider Nering,PR,5100,-1057
5,Wanderlei Hüttel,SC,5040,-1755
5,Augusto Thomas,RS,4415,-1661
5,Rafael Amadeos Rodrigues Ireijo,SP,4050,-1640
5,Gilberto Come,SP,3770,-1743
5,Bruno Leonardo Santos Cerqueira,BA,3525,-1800
5,Luccas Pereira,RJ,3350,-1577
5,Glesiton Rodrigues,SP,3350,-1800
5,Daniel Gonçalves Pereira,RJ,3050,-1187
5,Ana Cristina Mazzali,MT,2580,-1463
5,Emanuel Augusto Coutinho da Silva,PR,2300,184
5,André da Silva Gonçalves,SP,2100,-1800
5,Agnaldo Clozer Pinheiro,SP,2085,-1800
5,André Luiz Baldo,SC,2050,-1775
5,Alessandra Rosa Subirá Kunz de Jesus,SP,2000,-1756
5,Fabricia Galvão,SP,1445,-1765
5,Roseane Crispim,PR,1405,-1772
5,DANIELY CRISTINY PINHEIRO,PR,1405,-1772
5,Dionathan Magayver Sperandio,RS,1200,-1800
5,Manoel Messias Batista,SP,1000,-1800
5,Anônimo 200,RS,5200,-641
5,Anônimo 132,SP,0,-1800
5,Rodrigo Rehder Do Amaral,SP,0,-1800
6,Gilberto Come,SP,205,27
6,Jardiel Euflázio Felismino,PB,200,0
6,Rafael Amadeos Rodrigues Ireijo,SP,175,0
6,Wagner Willian,SP,160,0
6,Fábio de Carvalho Gatti,SP,80,0
6,Thiago Da Silva Romeiro,MS,80,0
6,Rafael Volner,SP,60,128
6,Lucas Dourado,SP,60,14
6,Glesiton Rodrigues,SP,60,0
6,Bruno Leonardo Santos Cerqueira,BA,55,0
6,Daniel Gonçalves Pereira,RJ,50,104
6,Juan Rodrigo Harbar Penas,PR,50,79
6,Kleber Koiti Takemoto,MS,50,72
6,Washington Augusto Demicheli Junior,MG,50,0
6,Vinicius dos Santos Costa,MG,50,0
6,Augusto Thomas,RS,30,0
6,Alessandra Rosa Subirá Kunz de Jesus,SP,25,245
6,Ana Cristina Mazzali,MT,25,220
6,Wellington Luíz Pereira,MG,25,0
6,Wanderlei Hüttel,SC,25,0
6,Leandro Machado,SP,15,103
6,Agnaldo Clozer Pinheiro,SP,15,0
6,Emanuel Augusto Coutinho da Silva,PR,10,0
6,André Luiz Baldo,SC,5,30
6,Thomas Marcelo e Silva,GO,450,0
6,Gabriel Sotero,RJ,440,0
6,Juliano Neves,SP,420,69
6,Bruno Merola Correa,RJ,420,60
6,Felipe Rocha Carvalho,SP,395,16
6,Bruno Romero de Mendonca,SP,305,170
6,Luccas Pereira,RJ,270,217
6,Fredson Alves Pinho,GO,250,113
6,Vitor Augusto Dib Martinho,GO,250,15
6,André da Silva Gonçalves,SP,250,0
6,Eduardo Schneider Nering,PR,245,0
6,Diego Martins Ruvieri,SP,235,112
7,André da Silva Gonçalves,SP,248,0
7,Bruno Romero de Mendonca,SP,166,0
7,Fredson Alves Pinho,GO,146,0
7,Bruno Merola Correa,RJ,496,0
7,Felipe Rocha Carvalho,SP,477,0
7,Gabriel Sotero,RJ,366,0
8,Diego Martins Ruvieri,SP,266,0
8,Vitor Augusto Dib Martinho,GO,166,0
8,Luccas Pereira,RJ,109,0
8,Juliano Neves,SP,390,1
8,Thomas Marcelo e Silva,GO,390,0
8,Eduardo Schneider Nering,PR,344,0
9,Thomas Marcelo e Silva,GO,790,0
9,Bruno Merola Correa,RJ,716,0
9,Felipe Rocha Carvalho,SP,504,0
9,Eduardo Schneider Nering,PR,420,0
9,Gabriel Sotero,RJ,380,0
9,Juliano Neves,SP,334,0
10,Bruno Leonardo Santos Cerqueira,BA,0,0
10,Jean Marcos da Silva Soares,SP,0,0
10,David William Albino de Souza Moraes,SP,58,77
10,André Luiz Baldo,SC,120,0
10,Sérgio Guilherme Roma Santoro,SP,120,0
10,Dionathan Magayver Sperandio,RS,130,0
10,Pedro Claudino da Silva,SP,132,0
10,Rafael Amadeos Rodrigues Ireijo,SP,138,34
10,Priscila Moraes Meira,SP,143,4
10,Luciana Maria Da Silva Siqueira,GO,174,93
10,Felipe Caldat,SC,178,84
10,Priscilla Laks,SP,186,0
10,Gabriel Giacomini Marques,SP,190,93
10,Semani Ygor Soares Silva,GO,190,24
10,Jardiel Euflázio Felismino,PB,204,0
10,Yurik Moraes Klein,PR,207,0
10,Paulo Roberto Resutta Gonçalves,SP,216,6
10,Leandro Machado,SP,223,0
10,Jorge Raphael de Melo,SP,228,0
10,Plinio Ferreira Pires,GO,232,0
10,Emanuel Augusto Coutinho da Silva,PR,247,74
10,Renan Augusto Fleith Lemuch,PR,253,26
10,Matheus Bonato de Almeida,SP,287,0
10,Diego Cezar Ruvieri,SP,302,0
10,Estevan Formagini,RS,331,0
10,Fredson Alves Pinho,GO,332,13
10,Miguel Machado Stanzis,SP,368,60
10,Gabriel Sotero,RJ,420,27
10,Felipe Rocha Carvalho,SP,441,0
10,Eneas Uriel Schreiber Gesing,RS,468,0
10,Bruno de Souza e Silva Borsato,RJ,500,44
10,Bruno Romero de Mendonca,SP,514,45
10,Augusto Thomas,RS,518,0
10,Bruno Lau Balz,RS,524,67
10,Luccas Pereira,RJ,540,112
10,Wagner Willian,SP,548,81
10,Ariel Assayag,SP,570,0
10,Guilherme Bodra Guimarães,SP,582,0
10,Rafael Volner,SP,586,62
10,Juan Rodrigo Harbar Penas,PR,592,0
10,Juliano Neves,SP,610,0
10,Gilberto Come,SP,610,0
10,Thomas Marcelo e Silva,GO,630,0
10,André da Silva Gonçalves,SP,633,0
10,Alexandre César Alvarenga Ribeiro,MG,660,30
10,Gabriel Nunes de Lima Caetano,MG,660,0
10,Fábio de Carvalho Gatti,SP,670,123
10,Lucas Dourado,SP,670,18
10,Marc Castro,EX,720,42
10,Mauro Francisco Furlan,SP,740,79
10,Eduardo Schneider Nering,PR,890,0
10,Vitor Augusto Dib Martinho,GO,920,0
10,Jean Wolleh,EX,1140,233
10,Washington Augusto Demicheli Junior,MG,1250,170
10,Bruno Merola Correa,RJ,1250,99
11,Anônimo 132,SP,0,869
11,Fernando Carvalho,SP,0,1525
11,Ana Cristina Mazzali,MT,112,701
11,Rafael Amadeos Rodrigues Ireijo,SP,126,1
11,Eneas Uriel Schreiber Gesing,RS,162,434
11,Bruno Lau Balz,RS,176,4
11,Emanuel Augusto Coutinho da Silva,PR,240,79
11,Jean Marcos da Silva Soares,SP,240,0
11,Julien Lacaze,EX,258,50
11,Luciana Maria da Silva,MG,274,99
11,Juliano Neves,SP,290,113
11,Gilberto Come,SP,290,0
11,Dionathan Magayver Sperandio,RS,290,30
11,Plinio Ferreira Pires,GO,290,0
11,Augusto Thomas,RS,320,1
11,André Luiz Baldo,SC,320,0
11,Regina Beretta,PR,320,5
11,Gabriel Sotero,RJ,360,0
11,Thomas Marcelo e Silva,GO,360,0
11,Bruno Romero de Mendonca,SP,360,92
11,Felipe Rocha Carvalho,SP,360,0
11,Fredson Alves Pinho,GO,360,52
11,Nicholas De Marco Reckman,RJ,368,121
11,Denis Bertazzo Watashi,SC,370,0
11,Renan Augusto Fleith Lemuch,PR,376,0
11,Vitor Augusto Dib Martinho,GO,380,10
11,Guilherme Bodra Guimarães,SP,380,71
11,Adriano Luiz Santos Queiroz,GO,380,0
11,Kleber Koiti Takemoto,MS,383,0
11,Marcus Vinicius Rodello,SP,410,0
11,André da Silva Gonçalves,SP,436,0
11,Diego Cezar Ruvieri,SP,440,369
11,Marc Castro,EX,490,67
11,Rafael Volner,SP,500,0
11,Mauro Francisco Furlan,SP,500,0
11,Alexandre César Alvarenga Ribeiro,MG,500,139
11,Wanderlei Hüttel,SC,508,44
11,Jardiel Euflázio Felismino,PB,530,0
11,Leandro Machado,SP,560,6
11,Juan Rodrigo Harbar Penas,PR,560,80
11,Priscilla Laks,SP,560,3
11,Eduardo Schneider Nering,PR,650,0
11,Bruno Merola Correa,RJ,690,7
11,Fábio de Carvalho Gatti,SP,720,0
11,Washington Augusto Demicheli Junior,MG,880,0
11,Lorenzo Foti,EX,980,7
11,Jean Wolleh,EX,1078,8
12,Lorenzo Foti,EX,1010,0
12,Bo Rydobon,EX,978,101
12,Jean Wolleh,EX,938,345
12,Gabriel Sotero,RJ,900,100
12,Thomas Marcelo e Silva,GO,842,0
12,Washington Augusto Demicheli Junior,MG,820,22
12,Lianna Gerrish,EX,786,80
12,Juan José Cifuentes,EX,762,0
12,Jardiel Euflázio Felismino,PB,746,0
12,Felipe Rocha Carvalho,SP,740,115
12,Juan Rodrigo Harbar Penas,PR,722,14
12,Juliano Neves,SP,711,0
12,Diego Cezar Ruvieri,SP,694,79
12,Rafael Volner,SP,647,33
12,Lucas Dourado,SP,638,34
